회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스번호
1085,4,7,17,18,38,44,36
1084,8,12,13,29,33,42,5
1083,3,7,14,15,22,38,17
1082,21,26,27,32,34,42,31
1081,1,9,16,23,24,38,17
1080,13,16,23,31,36,44,38
1079,4,8,18,24,37,45,6
1078,6,10,11,14,36,38,43
1077,4,8,17,30,40,43,34
1076,3,7,9,33,36,37,10
1075,1,23,24,35,44,45,10
1074,1,6,20,27,28,41,15
1073,6,18,28,30,32,38,15
1072,16,18,20,23,32,43,27
1071,1,2,11,21,30,35,39
1070,3,6,14,22,30,41,36
1069,1,10,18,22,28,31,44
1068,4,7,19,26,33,35,3
1067,7,10,19,23,28,33,18
1066,6,11,16,19,21,32,45
1065,3,18,19,23,32,45,24
1064,3,6,9,18,22,35,14
1063,3,6,22,23,24,38,30
1062,20,31,32,40,41,45,12
1061,4,24,27,35,37,45,15
1060,3,10,24,33,38,45,36
1059,7,10,22,25,34,40,27
1058,11,23,25,30,32,40,42
1057,8,13,19,27,40,45,12
1056,13,20,24,32,36,45,29
1055,4,7,12,14,22,33,31
1054,14,19,27,28,30,45,33
1053,22,26,29,30,34,45,15
1052,5,17,26,27,35,38,1
1051,21,26,30,32,33,35,44
1050,6,12,31,35,38,43,17
1049,3,5,13,20,21,37,17
1048,6,12,17,21,32,39,30
1047,2,20,33,40,42,44,32
1046,7,16,25,29,35,36,28
1045,6,14,15,19,21,41,37
1044,12,17,20,26,28,36,4
1043,3,5,12,22,26,31,19
1042,5,14,15,23,34,43,4
1041,6,7,9,11,17,18,45
1040,8,16,26,29,31,36,11
1039,2,3,6,19,36,39,26
1038,7,16,24,27,37,44,2
1037,2,14,15,22,27,33,31
1036,2,5,22,32,34,45,39
1035,9,14,34,35,41,42,2
1034,26,31,32,33,38,40,11
1033,3,11,15,20,35,44,10
1032,1,6,12,19,36,42,28
1031,6,7,22,32,35,36,19
1030,2,5,11,17,24,29,9
1029,12,30,32,37,39,41,24
1028,5,7,12,13,18,35,23
1027,14,16,27,35,39,45,5
1026,5,12,13,31,32,41,34
1025,8,9,20,25,29,33,7
1024,9,18,20,22,38,44,10
1023,10,14,16,18,29,35,25
1022,5,6,11,29,42,45,28
1021,12,15,17,24,29,45,16
1020,12,27,29,38,41,45,6
1019,1,4,13,17,34,39,6
1018,3,19,21,25,37,45,35
1017,12,18,22,23,30,34,32
1016,15,26,28,34,41,42,44
1015,14,23,31,33,37,40,44
1014,3,11,14,18,26,27,21
1013,21,22,26,34,36,41,32
1012,5,11,18,20,35,45,3
1011,1,9,12,26,35,38,42
1010,9,12,15,25,34,36,3
1009,15,23,29,34,40,44,20
1008,9,11,30,31,41,44,33
1007,8,11,16,19,21,25,40
1006,8,11,15,16,17,37,36
1005,8,13,18,24,27,29,17
1004,7,15,30,37,39,44,18
1003,1,4,29,39,43,45,31
1002,17,25,33,35,38,45,15
1001,6,10,12,14,20,42,15
1000,2,8,19,22,32,42,39
999,1,3,9,14,18,28,34
998,13,17,18,20,42,45,41
997,4,7,14,16,24,44,20
996,6,11,15,24,32,39,28
995,1,4,13,29,38,39,7
994,1,3,8,24,27,35,28
993,6,14,16,18,24,42,44
992,12,20,26,33,44,45,24
991,13,18,25,31,33,44,38
990,2,4,25,26,36,37,28
989,17,18,21,27,29,33,26
988,2,13,20,30,31,41,27
987,2,4,15,23,29,38,7
986,7,10,16,28,41,42,40
985,17,21,23,30,34,44,19
984,3,10,23,35,36,37,18
983,13,23,26,31,35,43,15
982,5,7,13,20,21,44,33
981,27,36,37,41,43,45,32
980,3,13,16,23,24,35,14
979,7,11,16,21,27,33,24
978,1,7,15,32,34,42,8
977,2,9,10,14,22,44,16
976,4,12,14,25,35,37,2
975,7,8,9,17,22,24,5
974,1,2,11,16,39,44,32
973,22,26,31,37,41,42,24
972,3,6,17,23,37,39,26
971,2,6,17,18,21,26,7
970,9,11,16,21,28,36,5
969,3,9,10,29,40,45,7
968,2,5,12,14,24,39,33
967,1,6,13,37,38,40,9
966,1,21,25,29,34,37,36
965,2,13,25,28,29,36,34
964,6,21,36,38,39,43,30
963,6,12,19,23,34,42,35
962,1,18,28,31,34,43,40
961,11,20,29,31,33,42,43
960,2,18,24,30,32,45,14
959,1,14,15,24,40,41,35
958,2,9,10,16,35,37,1
957,4,15,24,35,36,40,1
956,10,11,20,21,25,41,40
955,4,9,23,26,29,33,8
954,1,9,26,28,30,41,32
953,7,9,22,27,37,42,34
952,4,12,22,24,33,41,38
951,2,12,30,31,39,43,38
950,3,4,15,22,28,40,10
949,14,21,35,36,40,44,30
948,13,18,30,31,38,41,5
947,3,8,17,20,27,35,26
946,9,18,19,30,34,40,20
945,9,10,15,30,33,37,26
944,2,13,16,19,32,33,42
943,1,8,13,36,44,45,39
942,10,12,18,35,42,43,39
941,12,14,25,27,39,40,35
940,3,15,20,22,24,41,11
939,4,11,28,39,42,45,6
938,4,8,10,16,31,36,9
937,2,10,13,22,29,40,26
936,7,11,13,17,18,29,43
935,4,10,20,32,38,44,18
934,1,3,30,33,36,39,12
933,23,27,29,31,36,45,37
932,1,6,15,36,37,38,5
931,14,15,23,25,35,43,32
930,8,21,25,38,39,44,28
929,7,9,12,15,19,23,4
928,3,4,10,20,28,44,30
927,4,15,22,38,41,43,26
926,10,16,18,20,25,31,6
925,13,24,32,34,39,42,4
924,3,11,34,42,43,44,13
923,3,17,18,23,36,41,26
922,2,6,13,17,27,43,36
921,5,7,12,22,28,41,1
920,2,3,26,33,34,43,29
919,9,14,17,18,42,44,35
918,7,11,12,31,33,38,5
917,1,3,23,24,27,43,34
916,6,21,22,32,35,36,17
915,2,6,11,13,22,37,14
914,16,19,24,33,42,44,27
913,6,14,16,21,27,37,40
912,5,8,18,21,22,38,10
911,4,5,12,14,32,42,35
910,1,11,17,27,35,39,31
909,7,24,29,30,34,35,33
908,3,16,21,22,23,44,30
907,21,27,29,38,40,44,37
906,2,5,14,28,31,32,20
905,3,4,16,27,38,40,20
904,2,6,8,26,43,45,11
903,2,15,16,21,22,28,45
902,7,19,23,24,36,39,30
901,5,18,20,23,30,34,21
900,7,13,16,18,35,38,14
899,8,19,20,21,33,39,37
898,18,21,28,35,37,42,17
897,6,7,12,22,26,36,29
896,5,12,25,26,38,45,23
895,16,26,31,38,39,41,23
894,19,32,37,40,41,43,45
893,1,15,17,23,25,41,10
892,4,9,17,18,26,42,36
891,9,13,28,31,39,41,19
890,1,4,14,18,29,37,6
889,3,13,29,38,39,42,26
888,3,7,12,31,34,38,32
887,8,14,17,27,36,45,10
886,19,23,28,37,42,45,2
885,1,3,24,27,39,45,31
884,4,14,23,28,37,45,17
883,9,18,32,33,37,44,22
882,18,34,39,43,44,45,23
881,4,18,20,26,27,32,9
880,7,17,19,23,24,45,38
879,1,4,10,14,15,35,20
878,2,6,11,16,25,31,3
877,5,17,18,22,23,43,12
876,5,16,21,26,34,42,24
875,19,22,30,34,39,44,36
874,1,15,19,23,28,42,32
873,3,5,12,13,33,39,38
872,2,4,30,32,33,43,29
871,2,6,12,26,30,34,38
870,21,25,30,32,40,42,31
869,2,6,20,27,37,39,4
868,12,17,28,41,43,44,25
867,14,17,19,22,24,40,41
866,9,15,29,34,37,39,12
865,3,15,22,32,33,45,2
864,3,7,10,13,25,36,32
863,16,21,28,35,39,43,12
862,10,34,38,40,42,43,32
861,11,17,19,21,22,25,24
860,4,8,18,25,27,32,42
859,8,22,35,38,39,41,24
858,9,13,32,38,39,43,23
857,6,10,16,28,34,38,43
856,10,24,40,41,43,44,17
855,8,15,17,19,43,44,7
854,20,25,31,32,36,43,3
853,2,8,23,26,27,44,13
852,11,17,28,30,33,35,9
851,14,18,22,26,31,44,40
850,16,20,24,28,36,39,5
849,5,13,17,29,34,39,3
848,1,2,16,22,38,39,34
847,12,16,26,28,30,42,22
846,5,18,30,41,43,45,13
845,1,16,29,33,40,45,6
844,7,8,13,15,33,45,18
843,19,21,30,33,34,42,4
842,14,26,32,36,39,42,38
841,5,11,14,30,33,38,24
840,2,4,11,28,29,43,27
839,3,9,11,12,13,19,35
838,9,14,17,33,36,38,20
837,2,25,28,30,33,45,6
836,1,9,11,14,26,28,19
835,9,10,13,28,38,45,35
834,6,8,18,35,42,43,3
833,12,18,30,39,41,42,19
832,13,14,19,26,40,43,30
831,3,10,16,19,31,39,9
830,5,6,16,18,37,38,17
829,4,5,31,35,43,45,29
828,4,7,13,29,31,39,18
827,5,11,12,29,33,44,14
826,13,16,24,25,33,36,42
825,8,15,21,31,33,38,42
824,7,9,24,29,34,38,26
823,12,18,24,26,39,40,15
822,9,18,20,24,27,36,12
821,1,12,13,24,29,44,16
820,10,21,22,30,35,42,6
819,16,25,33,38,40,45,15
818,14,15,25,28,29,30,3
817,3,9,12,13,25,43,34
816,12,18,19,29,31,39,7
815,17,21,25,26,27,36,4
814,2,21,28,38,42,45,30
813,11,30,34,35,42,44,27
812,1,3,12,14,16,43,10
811,8,11,19,21,36,45,25
810,5,10,13,21,39,43,11
809,6,11,15,17,23,40,39
808,15,21,31,32,41,43,24
807,6,10,18,25,34,35,33
806,14,20,23,31,37,38,27
805,3,12,13,18,31,32,42
804,1,10,13,26,32,36,9
803,5,9,14,26,30,43,2
802,10,11,12,18,24,42,27
801,17,25,28,37,43,44,2
800,1,4,10,12,28,45,26
799,12,17,23,34,42,45,33
798,2,10,14,22,32,36,41
797,5,22,31,32,39,45,36
796,1,21,26,36,40,41,5
795,3,10,13,26,34,38,36
794,6,7,18,19,30,38,13
793,10,15,21,35,38,43,31
792,2,7,19,25,29,36,16
791,2,10,12,31,33,42,32
790,3,8,19,27,30,41,12
789,2,6,7,12,19,45,38
788,2,10,11,19,35,39,29
787,5,6,13,16,27,28,9
786,12,15,16,20,24,30,38
785,4,6,15,25,26,33,40
784,3,10,23,24,31,39,22
783,14,15,16,17,38,45,36
782,6,18,31,34,38,45,20
781,11,16,18,19,24,39,43
780,15,17,19,21,27,45,16
779,6,12,19,24,34,41,4
778,6,21,35,36,37,41,11
777,6,12,17,21,34,37,18
776,8,9,18,21,28,40,20
775,11,12,29,33,38,42,17
774,12,15,18,28,34,42,9
773,8,12,19,21,31,35,44
772,5,6,11,14,21,41,32
771,6,10,17,18,21,29,30
770,1,9,12,23,39,43,34
769,5,7,11,16,41,45,4
768,7,27,29,30,38,44,4
767,5,15,20,31,34,42,22
766,9,30,34,35,39,41,21
765,1,3,8,12,42,43,33
764,7,22,24,31,34,36,15
763,3,8,16,32,34,43,10
762,1,3,12,21,26,41,16
761,4,7,11,24,42,45,30
760,10,22,27,31,42,43,12
759,9,33,36,40,42,43,32
758,5,9,12,30,39,43,24
757,6,7,11,17,33,44,1
756,10,14,16,18,27,28,4
755,13,14,26,28,30,36,37
754,2,8,17,24,29,31,32
753,2,17,19,24,37,41,3
752,4,16,20,33,40,43,7
751,3,4,16,20,28,44,17
750,1,2,15,19,24,36,12
749,12,14,24,26,34,45,41
748,3,10,13,22,31,32,29
747,7,9,12,14,23,28,17
746,3,12,33,36,42,45,25
745,1,2,3,9,12,23,10
744,10,15,18,21,34,41,43
743,15,19,21,34,41,44,10
742,8,10,13,36,37,40,6
741,5,21,27,34,44,45,16
740,4,8,9,16,17,19,31
739,7,22,29,33,34,35,30
738,23,27,28,38,42,43,36
737,13,15,18,24,27,41,11
736,2,11,17,18,21,27,6
735,5,10,13,27,37,41,4
734,6,16,37,38,41,45,18
733,11,24,32,33,35,40,13
732,2,4,5,17,27,32,43
731,2,7,13,25,42,45,39
730,4,10,14,15,18,22,39
729,11,17,21,26,36,45,16
728,3,6,10,30,34,37,36
727,7,8,10,19,21,31,20
726,1,11,21,23,34,44,24
725,6,7,19,21,41,43,38
724,2,8,33,35,37,41,14
723,20,30,33,35,36,44,22
722,12,14,21,30,39,43,45
721,1,28,35,41,43,44,31
720,1,12,29,34,36,37,41
719,4,8,13,19,20,43,26
718,4,11,20,23,32,39,40
717,2,11,19,25,28,32,44
716,2,6,13,16,29,30,21
715,2,7,27,33,41,44,10
714,1,7,22,33,37,40,20
713,2,5,15,18,19,23,44
712,17,20,30,31,33,45,19
711,11,15,24,35,37,45,42
710,3,4,9,24,25,33,10
709,10,18,30,36,39,44,32
708,2,10,16,19,34,45,1
707,2,12,19,24,39,44,35
706,3,4,6,10,28,30,37
705,1,6,17,22,28,45,23
704,1,4,8,23,33,42,45
703,10,28,31,33,41,44,21
702,3,13,16,24,26,29,9
701,3,10,14,16,36,38,35
700,11,23,28,29,30,44,13
699,4,5,8,16,21,29,3
698,3,11,13,21,33,37,18
697,2,5,8,11,33,39,31
696,1,7,16,18,34,38,21
695,4,18,26,33,34,38,14
694,7,15,20,25,33,43,12
693,1,6,11,28,34,42,30
692,3,11,14,15,32,36,44
691,15,27,33,35,43,45,16
690,24,25,33,34,38,39,43
689,7,17,19,30,36,38,34
688,5,15,22,23,34,35,2
687,1,8,10,13,28,42,45
686,7,12,15,24,25,43,13
685,6,7,12,28,38,40,18
684,1,11,15,17,25,39,40
683,6,13,20,27,28,40,15
682,17,23,27,35,38,43,2
681,21,24,27,29,43,44,7
680,4,10,19,29,32,42,30
679,3,5,7,14,26,34,35
678,4,5,6,12,25,37,45
677,12,15,24,36,41,44,42
676,1,8,17,34,39,45,27
675,1,8,11,15,18,45,7
674,9,10,14,25,27,31,11
673,7,10,17,29,33,44,5
672,8,21,28,31,36,45,43
671,7,9,10,13,31,35,24
670,11,18,26,27,40,41,25
669,7,8,20,29,33,38,9
668,12,14,15,24,27,32,3
667,15,17,25,37,42,43,13
666,2,4,6,11,17,28,16
665,5,6,11,17,38,44,13
664,10,20,33,36,41,44,5
663,3,5,8,19,38,42,20
662,5,6,9,11,15,37,26
661,2,3,12,20,27,38,40
660,4,9,23,33,39,44,14
659,7,18,19,27,29,42,45
658,8,19,25,28,32,36,37
657,10,14,19,39,40,43,23
656,3,7,14,16,31,40,39
655,7,37,38,39,40,44,18
654,16,21,26,31,36,43,6
653,5,6,26,27,38,39,1
652,3,13,15,40,41,44,20
651,11,12,16,26,29,44,18
650,3,4,7,11,31,41,35
649,3,21,22,33,41,42,20
648,13,19,28,37,38,43,4
647,5,16,21,23,24,30,29
646,2,9,24,41,43,45,30
645,1,4,16,26,40,41,31
644,5,13,17,23,28,36,8
643,15,24,31,32,33,40,13
642,8,17,18,24,39,45,32
641,11,18,21,36,37,43,12
640,14,15,18,21,26,35,23
639,6,15,22,23,25,32,40
638,7,18,22,24,31,34,6
637,3,16,22,37,38,44,23
636,6,7,15,16,20,31,26
635,11,13,25,26,29,33,32
634,4,10,11,12,20,27,38
633,9,12,19,20,39,41,13
632,15,18,21,32,35,44,6
631,1,2,4,23,31,34,8
630,8,17,21,24,27,31,15
629,19,28,31,38,43,44,1
628,1,7,12,15,23,42,11
627,2,9,22,25,31,45,12
626,13,14,26,33,40,43,15
625,3,6,7,20,21,39,13
624,1,7,19,26,27,35,16
623,7,13,30,39,41,45,25
622,9,15,16,21,28,34,24
621,1,2,6,16,19,42,9
620,2,16,17,32,39,45,40
619,6,8,13,30,35,40,21
618,8,16,25,30,42,43,15
617,4,5,11,12,24,27,28
616,5,13,18,23,40,45,3
615,10,17,18,19,23,27,35
614,8,21,25,39,40,44,18
613,7,8,11,16,41,44,35
612,6,9,18,19,25,33,40
611,2,22,27,33,36,37,14
610,14,18,20,23,28,36,33
609,4,8,27,34,39,40,13
608,4,8,18,19,39,44,41
607,8,14,23,36,38,39,13
606,1,5,6,14,20,39,22
605,1,2,7,9,10,38,42
604,2,6,18,21,33,34,30
603,2,19,25,26,27,43,28
602,13,14,22,27,30,38,2
601,2,16,19,31,34,35,37
1153,1,2,3,4,5,6,7
